hsa	Homo sapiens (human)
kin	Kluyvera intermedia
pfq	Pragia fontium
sbw	Symbiont bacterium UwTKB of Urostylis westwoodii
ebf	Enterobacteriaceae bacterium FGI 57
psts	Plautia stali symbiont
hin	Haemophilus influenzae Rd KW20 (serotype d)
hit	Haemophilus influenzae 86-028NP (nontypeable)
hip	Haemophilus influenzae PittEE (nontypeable)
hiq	Haemophilus influenzae PittGG (nontypeable)
hif	Haemophilus influenzae F3031 (nontypeable)
hil	Haemophilus influenzae F3047 (nontypeable)
hiu	Haemophilus influenzae 10810 (serotype b)
hie	Haemophilus influenzae R2846 (nontypeable)
hiz	Haemophilus influenzae R2866 (nontypeable)
hik	Haemophilus influenzae KR494 (serotype f)
hia	Haemophilus influenzae CGSHiCZ412602
hih	Haemophilus influenzae Hi375
hiw	Haemophilus influenzae 477
hic	Haemophilus influenzae C486
hix	Haemophilus influenzae 723
hdu	Haemophilus ducreyi
hap	Haemophilus parasuis SH0165
hpaz	Haemophilus parasuis ZJ0906
hpas	Haemophilus parasuis SH03
hpak	Haemophilus parasuis KL0318
hpr	Haemophilus parainfluenzae
hso	Haemophilus somnus 129PT
hsm	Haemophilus somnus 2336
pmu	Pasteurella multocida subsp. multocida Pm70
pmv	Pasteurella multocida subsp. multocida HN06
pul	Pasteurella multocida subsp. multocida 3480
pmp	Pasteurella multocida 36950
pmul	Pasteurella multocida ATCC 43137
msu	Mannheimia succiniciproducens
mht	Mannheimia haemolytica USDA-ARS-SAM-185
mhq	Mannheimia haemolytica USDA-ARS-USMARC-183
mhat	Mannheimia haemolytica USDA-ARS-USMARC-184
mhx	Mannheimia haemolytica M42548
mhae	Mannheimia haemolytica D153
mham	Mannheimia haemolytica D171
mhao	Mannheimia haemolytica D174
mhal	Mannheimia haemolytica USMARC_2286
mhaq	Mannheimia haemolytica 89010807N
mhay	Mannheimia haemolytica 89010807N lktA-
mvr	Mannheimia varigena USDA-ARS-USMARC-1261
mvi	Mannheimia varigena USDA-ARS-USMARC-1296
mvg	Mannheimia varigena USDA-ARS-USMARC-1312
mve	Mannheimia varigena USDA-ARS-USMARC-1388
apl	Actinobacillus pleuropneumoniae L20 (serotype 5b)
apj	Actinobacillus pleuropneumoniae JL03 (serotype 3)
apa	Actinobacillus pleuropneumoniae AP76 (serotype 7)
asu	Actinobacillus succinogenes
asi	Actinobacillus suis H91-0380
ass	Actinobacillus suis ATCC 33415
aeu	Actinobacillus equuli
aap	Aggregatibacter aphrophilus
aat	Aggregatibacter actinomycetemcomitans D11S-1
aao	Aggregatibacter actinomycetemcomitans ANH9381
aan	Aggregatibacter actinomycetemcomitans D7S-1
aah	Aggregatibacter actinomycetemcomitans HK1651
gan	Gallibacterium anatis
bto	Bibersteinia trehalosi USDA-ARS-USMARC-192
btre	Bibersteinia trehalosi USDA-ARS-USMARC-188
btrh	Bibersteinia trehalosi USDA-ARS-USMARC-189
btra	Bibersteinia trehalosi USDA-ARS-USMARC-190
xfa	Xylella fastidiosa 9a5c
xft	Xylella fastidiosa Temecula1
xfm	Xylella fastidiosa M12
xfn	Xylella fastidiosa M23
xff	Xylella fastidiosa subsp. fastidiosa GB514
xfl	Xylella fastidiosa MUL0034
xfs	Xylella fastidiosa subsp. sandyi Ann-1
xcc	Xanthomonas campestris pv. campestris ATCC 33913
xcb	Xanthomonas campestris pv. campestris 8004
xca	Xanthomonas campestris pv. campestris B100
xcp	Xanthomonas campestris pv. raphani
xcv	Xanthomonas campestris pv. vesicatoria
xac	Xanthomonas citri pv. citri 306
xci	Xanthomonas citri subsp. citri Aw12879
xct	Xanthomonas citri subsp. citri A306
xcu	Xanthomonas citri subsp. citri UI7
xcn	Xanthomonas citri subsp. citri NT17
xcw	Xanthomonas citri subsp. citri MN10
xcr	Xanthomonas citri subsp. citri MN11
xcm	Xanthomonas citri subsp. citri MN12
xcf	Xanthomonas citri subsp. citri mf20
xcj	Xanthomonas citri subsp. citri UI6
xfu	Xanthomonas fuscans
xax	Xanthomonas alfalfae
xao	Xanthomonas axonopodis Xac29-1
xoo	Xanthomonas oryzae pv. oryzae KACC 10331
xom	Xanthomonas oryzae pv. oryzae MAFF 311018
xop	Xanthomonas oryzae pv. oryzae PXO99A
xoy	Xanthomonas oryzae pv. oryzae PXO86
xor	Xanthomonas oryzae pv. oryzicola BLS256
xoz	Xanthomonas oryzae pv. oryzicola CFBP7342
xal	Xanthomonas albilineans
xsa	Xanthomonas sacchari
xtn	Xanthomonas translucens
sml	Stenotrophomonas maltophilia K279a
smt	Stenotrophomonas maltophilia R551-3
buj	Stenotrophomonas maltophilia JV3
smz	Stenotrophomonas maltophilia D457
sacz	Stenotrophomonas acidaminiphila
psu	Pseudoxanthomonas suwonensis
psd	Pseudoxanthomonas spadix
fau	Frateuria aurantia
rhd	Rhodanobacter denitrificans
dji	Dyella jiangningensis
dja	Dyella japonica
vch	Vibrio cholerae O1 biovar El Tor N16961
vcf	Vibrio cholerae O1 biovar El Tor FJ147
vce	Vibrio cholerae O1 2010EL-1786
vcj	Vibrio cholerae MJ-1236
vco	Vibrio cholerae O395
vcr	Vibrio cholerae O395
vcm	Vibrio cholerae M66-2
vci	Vibrio cholerae IEC224
vcl	Vibrio cholerae LMA3984-4
vcq	Vibrio cholerae 2012EL-2176
vcs	Vibrio cholerae MS6
vcx	Vibrio cholerae 1154-74
vcz	Vibrio cholerae 10432-62
vvu	Vibrio vulnificus CMCP6
vvy	Vibrio vulnificus YJ016
vvm	Vibrio vulnificus MO6-24/O
vvl	Vibrio vulnificus 93U204
vpa	Vibrio parahaemolyticus RIMD 2210633
vpb	Vibrio parahaemolyticus BB22OP
vpk	Vibrio parahaemolyticus O1:K33 CDC_K4557
vpf	Vibrio parahaemolyticus O1:Kuk FDA_R31
vph	Vibrio parahaemolyticus UCM-V493
vha	Vibrio campbellii
vca	Vibrio campbellii
vag	Vibrio alginolyticus
vsp	Vibrio tasmaniensis
vex	Vibrio antiquarius
vej	Vibrio sp. EJY3
vfu	Vibrio furnissii
vni	Vibrio nigripulchritudo
van	Vibrio anguillarum 775
lag	Vibrio anguillarum M3
vau	Vibrio anguillarum NB10
vcy	Vibrio coralliilyticus RE98
vct	Vibrio coralliilyticus OCN014
vtu	Vibrio tubiashii
vfi	Aliivibrio fischeri ES114
vfm	Aiivibrio fischeri MJ11
vsa	Aliivibrio salmonicida
awd	Aliivibrio wodanis
ppr	Photobacterium profundum
pgb	Photobacterium gaetbulicola
pae	Pseudomonas aeruginosa PAO1
paev	Pseudomonas aeruginosa PAO1-VE13
paei	Pseudomonas aeruginosa PAO1-VE2
pau	Pseudomonas aeruginosa UCBPP-PA14
pap	Pseudomonas aeruginosa PA7
pag	Pseudomonas aeruginosa LESB58
paf	Pseudomonas aeruginosa M18
pnc	Pseudomonas aeruginosa NCGM2.S1
paeb	Pseudomonas aeruginosa NCGM 1900
pdk	Pseudomonas aeruginosa DK2
psg	Pseudomonas aeruginosa B136-33
prp	Pseudomonas aeruginosa RP73
paep	Pseudomonas aeruginosa PA1
paer	Pseudomonas aeruginosa PA1R
paem	Pseudomonas aeruginosa MTB-1
pael	Pseudomonas aeruginosa LES431
paes	Pseudomonas aeruginosa SCV20265
paeu	Pseudomonas aeruginosa PA38182
paeg	Pseudomonas aeruginosa YL84
paec	Pseudomonas aeruginosa c7447m
paeo	Pseudomonas aeruginosa PAO581
ppu	Pseudomonas putida KT2440
ppf	Pseudomonas putida F1
ppg	Pseudomonas putida GB-1
ppw	Pseudomonas putida W619
ppt	Pseudomonas putida S16
ppb	Pseudomonas putida BIRD-1
ppi	Pseudomonas putida ND6
ppx	Pseudomonas putida DOT-T1E
ppuh	Pseudomonas putida HB3267
pput	Pseudomonas putida H8234
ppun	Pseudomonas putida NBRC 14164
ppud	Pseudomonas putida DLL-E4
pfv	Pseudomonas fulva
pmon	Pseudomonas monteilii SB3078
pmot	Pseudomonas monteilii SB3101
pmos	Pseudomonas mosselii
ppj	Pseudomonas plecoglossicida
pst	Pseudomonas syringae pv. tomato DC3000
psb	Pseudomonas syringae pv. syringae B728a
psyr	Pseudomonas syringae CC1557
psp	Pseudomonas syringae pv. phaseolicola 1448A
pci	Pseudomonas cichorii
pfl	Pseudomonas protegens Pf-5
pprc	Pseudomonas protegens CHA0
ppro	Pseudomonas protegens Cab57
pfo	Pseudomonas fluorescens Pf0-1
pfs	Pseudomonas fluorescens SBW25
pfe	Pseudomonas fluorescens F113
pfc	Pseudomonas fluorescens A506
pfn	Pseudomonas fluorescens UK4
pfw	Pseudomonas fluorescens PCL1751
pfb	Pseudomonas fluorescens LBUM223
pff	Pseudomonas fluorescens PICF7
ppz	Pseudomonas poae
pman	Pseudomonas mandelii
ptv	Pseudomonas trivialis
pen	Pseudomonas entomophila
pmy	Pseudomonas mendocina ymp
pmk	Pseudomonas mendocina NK-01
psa	Pseudomonas stutzeri A1501
psz	Pseudomonas stutzeri ATCC 17588
psr	Pseudomonas stutzeri DSM 4166
psc	Pseudomonas stutzeri CCUG 29243
psj	Pseudomonas stutzeri DSM 10701
psh	Pseudomonas stutzeri RCH2
pstu	Pseudomonas stutzeri 19SMN4
pstt	Pseudomonas stutzeri 28a24
pbm	Pseudomonas balearica
pba	Pseudomonas brassicacearum subsp. brassicacearum NFM421
pbc	Pseudomonas brassicacearum DF41
ppuu	Pseudomonas sp. UW4
pdr	Pseudomonas denitrificans
pre	Pseudomonas resinovorans
ppse	Pseudomonas pseudoalcaligenes
psv	Pseudomonas sp. VLB120
psk	Pseudomonas sp. TKP
pkc	Pseudomonas knackmussii
pch	Pseudomonas chlororaphis PA23
pcz	Pseudomonas chlororaphis PCL1606
pcp	Pseudomonas chlororaphis subsp. aurantiaca
palk	Pseudomonas alkylphenolia
prh	Pseudomonas rhizosphaerae
psw	Pseudomonas cremoricolorata
ppv	Pseudomonas parafulva
pses	Pseudomonas sp. StFLB209
psem	Pseudomonas sp. MRSN12121
psec	Pseudomonas sp. CCOS 191
ppsy	Pseudomonas psychrophila
avn	Azotobacter vinelandii DJ
avl	Azotobacter vinelandii CA
avd	Azotobacter vinelandii CA6
acx	Azotobacter chroococcum
par	Psychrobacter arcticus
pcr	Psychrobacter cryohalolentis
prw	Psychrobacter sp. PRwf-1
pso	Psychrobacter sp. G
pur	Psychrobacter urativorans
acb	Acinetobacter baumannii ATCC 17978
abm	Acinetobacter baumannii SDF
aby	Acinetobacter baumannii AYE
abc	Acinetobacter baumannii ACICU
abn	Acinetobacter baumannii AB0057
abb	Acinetobacter baumannii AB307-0294
abx	Acinetobacter baumannii 1656-2
abz	Acinetobacter baumannii MDR-ZJ06
abr	Acinetobacter baumannii MDR-TJ
abd	Acinetobacter baumannii TCDC-AB0715
abh	Acinetobacter baumannii TYTH-1
abad	Acinetobacter baumannii D1279779
abj	Acinetobacter baumannii BJAB07104
abab	Acinetobacter baumannii BJAB0715
abaj	Acinetobacter baumannii BJAB0868
abaz	Acinetobacter baumannii ZW85-1
abk	Acinetobacter baumannii AbH12O-A2
abau	Acinetobacter baumannii AB030
abaa	Acinetobacter baumannii AB031
abw	Acinetobacter baumannii AC29
abal	Acinetobacter baumannii LAC-4
acc	Acinetobacter pittii
acd	Acinetobacter oleivorans
aci	Acinetobacter sp. ADP1
att	Acinetobacter sp. TTH0-4
aei	Acinetobacter equi
mct	Moraxella catarrhalis BBH18
mcs	Moraxella catarrhalis 25240
mcat	Moraxella catarrhalis 25239
son	Shewanella oneidensis
sdn	Shewanella denitrificans
sfr	Shewanella frigidimarina
saz	Shewanella amazonensis
sbl	Shewanella baltica OS155
sbm	Shewanella baltica OS185
sbn	Shewanella baltica OS195
sbp	Shewanella baltica OS223
sbt	Shewanella baltica OS678
sbs	Shewanella baltica OS117
sbb	Shewanella baltica BA175
slo	Shewanella loihica
spc	Shewanella putrefaciens CN-32
shp	Shewanella putrefaciens 200
sse	Shewanella sediminis
spl	Shewanella pealeana
she	Shewanella sp. MR-4
shm	Shewanella sp. MR-7
shn	Shewanella sp. ANA-3
shw	Shewanella sp. W3-18-1
shl	Shewanella halifaxensis
swd	Shewanella woodyi
swp	Shewanella piezotolerans
svo	Shewanella violacea
ilo	Idiomarina loihiensis L2TR
ili	Idiomarina loihiensis GSL 199
cps	Colwellia psychrerythraea
pha	Pseudoalteromonas haloplanktis
pat	Pseudoalteromonas atlantica
psm	Pseudoalteromonas sp. SM9913
pseo	Pseudoalteromonas sp. OCN003
maq	Marinobacter hydrocarbonoclasticus VT8
mhc	Marinobacter hydrocarbonoclasticus ATCC 49840
mad	Marinobacter adhaerens
mbs	Marinobacter sp. BSs20148
msr	Marinobacter salarius
msx	Marinobacter similis
mpq	Marinobacter psychrophilus
mari	Marinobacter sp. CP1
amc	Alteromonas mediterranea DE
amh	Alteromonas mediterranea 615
amaa	Alteromonas mediterranea DE1
amal	Alteromonas mediterranea U4
amae	Alteromonas mediterranea U7
amao	Alteromonas mediterranea U8
amad	Alteromonas mediterranea UM4b
amai	Alteromonas mediterranea UM7
amag	Alteromonas mediterranea MED64
amac	Alteromonas macleodii ATCC 27126
amb	Alteromonas macleodii Balearic Sea AD45
amg	Alteromonas macleodii English Channel 673
amk	Alteromonas macleodii Black Sea 11
alt	Alteromonas sp. SN2
aal	Alteromonas australica H 17
aaus	Alteromonas australica DE170
gag	Glaciecola sp. 4H-3-7+YE-5
gni	Glaciecola nitratireducens
gps	Paraglaciecola psychrophila
pin	Psychromonas ingrahamii
psy	Psychromonas sp. CNPT3
fbl	Ferrimonas balearica
mvs	Moritella viscosa
cja	Cellvibrio japonicus
sde	Saccharophagus degradans
ttu	Teredinibacter turnerae
saga	Simiduia agarivorans
spoi	Spongiibacter sp. IMCC21906
cbu	Coxiella burnetii RSA 493
cbs	Coxiella burnetii RSA 331
cbd	Coxiella burnetii Dugway 5J108-111
cbg	Coxiella burnetii CbuG_Q212
cbc	Coxiella burnetii CbuK_Q154
cea	Coxiella endosymbiont of Amblyomma americanum
cey	Coxiella-like endosymbiont
lpn	Legionella pneumophila subsp. pneumophila Philadelphia 1
lph	Legionella pneumophila subsp. pneumophila HL06041035
lpo	Legionella pneumophila subsp. pneumophila Lorraine
lpu	Legionella pneumophila subsp. pneumophila LPE509
lpm	Legionella pneumophila subsp. pneumophila Thunder Bay
lpf	Legionella pneumophila Lens
lpp	Legionella pneumophila Paris
lpc	Legionella pneumophila Corby
lpa	Legionella pneumophila 2300/99 Alcoy
lpe	Legionella pneumophila subsp. pneumophila ATCC 43290
llo	Legionella longbeachae
lfa	Legionella fallonii
lha	Legionella hackeliae
lok	Legionella oakridgensis
tmc	Tatlockia micdadei
mca	Methylococcus capsulatus
mmt	Methylomonas methanica
mah	Methylomicrobium alcaliphilum
ftu	Francisella tularensis subsp. tularensis SCHU S4
ftq	Francisella tularensis subsp. tularensis SCHU S4 NR-28534
ftf	Francisella tularensis subsp. tularensis FSC198
ftw	Francisella tularensis subsp. tularensis WY96-3418
ftr	Francisella tularensis subsp. tularensis NE061598
ftt	Francisella tularensis subsp. tularensis TI0902
fty	Francisella tularensis subsp. tularensis WY96
ftg	Francisella tularensis TIGB03
ftl	Francisella tularensis subsp. holarctica LVS
fth	Francisella tularensis subsp. holarctica OSU18
fta	Francisella tularensis subsp. holarctica FTNF002-00
fts	Francisella tularensis subsp. holarctica F92
fti	Francisella tularensis subsp. holarctica FSC200
fto	Francisella tularensis subsp. holarctica PHIT-FT049
ftc	Francisella tularensis subsp. holarctica FTT_1
ftv	Francisella tularensis subsp. holarctica VT68
ftz	Francisella tularensis subsp. holarctica 425
ftm	Francisella tularensis subsp. mediasiatica FSC147
ftn	Francisella tularensis subsp. novicida U112
ftx	Francisella tularensis subsp. novicida U112
ftd	Francisella tularensis subsp. novicida F6168
fcf	Francisella cf. novicida Fx1
fcn	Francisella cf. novicida 3523
fph	Francisella philomiragia subsp. philomiragia ATCC 25017
fpt	Francisella philomiragia subsp. philomiragia ATCC 25015 O#319L
fpi	Francisella philomiragia O#319-029
fpm	Francisella philomiragia O#319-036
fpx	Francisella philomiragia O#319-067
fpz	Francisella philomiragia GA01-2794
fpj	Francisella philomiragia GA01-2801
frt	Francisella sp. TX077308
fna	Francisella noatunensis subsp. orientalis Toba 04
fnl	Francisella noatunensis subsp. orientalis LADL--07-285A
frf	Francisella sp. FSC1006
fgu	Francisella guangzhouensis
tcx	Thiomicrospira crunogena
tcy	Thioalkalimicrobium cyclicum
tao	Thioalkalimicrobium aerophilum
mej	Methylophaga nitratireducenticrescens
mec	Methylophaga frappieri
cyq	Cycloclasticus sp. P1
cza	Cycloclasticus zancles
psal	Piscirickettsia salmonis
tig	Thioploca ingrica
blep	Beggiatoa leptomitiformis
noc	Nitrosococcus oceani
nhl	Nitrosococcus halophilus
nwa	Nitrosococcus watsonii
alv	Allochromatium vinosum
tvi	Thiocystis violascens
tmb	Thioflavicoccus mobilis
mpur	Marichromatium purpuratum
aeh	Alkalilimnicola ehrlichii
hha	Halorhodospira halophila
hhc	Halorhodospira halochloris
tgr	Thioalkalivibrio sulfidiphilus
tkm	Thioalkalivibrio sp. K90mix
tni	Thioalkalivibrio nitratireducens
tti	Thioalkalivibrio thiocyanoxidans
tvr	Thioalkalivibrio versutus
ssal	Spiribacter salinus
spiu	Spiribacter sp. UAH-SP71
hna	Halothiobacillus neapolitanus
wma	Wenzhouxiangella marina
hch	Hahella chejuensis
csa	Chromohalobacter salexigens
hel	Halomonas elongata
hcs	Halomonas campaniensis
hak	Halomonas sp. KO116
ham	Halomonas sp. R57-5
hhu	Halomonas huangheensis
ple	Candidatus Portiera aleyrodidarum BT-B
ply	Candidatus Portiera aleyrodidarum BT-B-HRs
plr	Candidatus Portiera aleyrodidarum BT-QVLC
plo	Candidatus Portiera aleyrodidarum BT-QVLC
pld	Candidatus Portiera aleyrodidarum TV
plb	Candidatus Portiera aleyrodidarum TV-BCN
plc	Candidatus Portiera aleyrodidarum AD-CAI
pli	Candidatus Portiera aleyrodidarum AF-CAI
paly	Candidatus Portiera aleyrodidarum MED
crp	Candidatus Carsonella ruddii PV (Pachypsylla venusta)
cru	Candidatus Carsonella ruddii CE (Ctenarytaina eucalypti)
crc	Candidatus Carsonella ruddii CS (Ctenarytaina spatulata)
crt	Candidatus Carsonella ruddii HT (Heteropsylla texana)
crh	Candidatus Carsonella ruddii HC (Heteropsylla cubana)
crv	Candidatus Carsonella ruddii PC (Pachypsylla celtidis)
cri	Candidatus Carsonella ruddii DC (Diaphorina citri)
eme	Candidatus Evansia muelleri
abo	Alcanivorax borkumensis
adi	Alcanivorax dieselolei
apac	Alcanivorax pacificus
aln	Alcanivorax sp. NBRC
kko	Kangiella koreensis
kge	Kangiella geojedonensis
mmw	Marinomonas sp. MWYL1
mme	Marinomonas mediterranea
mpc	Marinomonas posidonica
tol	Thalassolituus oleivorans MIL-1
tor	Thalassolituus oleivorans R6-15
oai	Oleispira antarctica
gsn	Gynuella sunshinyii
aha	Aeromonas hydrophila subsp. hydrophila ATCC 7966
ahy	Aeromonas hydrophila ML09-119
ahd	Aeromonas hydrophila YL17
ahr	Aeromonas hydrophila AL09-71
ahp	Aeromonas hydrophila pc104A
ahj	Aeromonas hydrophila J-1
ahh	Aeromonas hydrophila AL06-06
ahi	Aeromonas hydrophila AH10
asa	Aeromonas salmonicida
avr	Aeromonas veronii
amed	Aeromonas media
tau	Tolumonas auensis
oce	Oceanimonas sp. GK1
dno	Dichelobacter nodosus
afe	Acidithiobacillus ferrooxidans ATCC 53993
afr	Acidithiobacillus ferrooxidans ATCC 23270
acu	Acidithiobacillus caldus SM-1
acz	Acidithiobacillus caldus ATCC 51756
afi	Acidithiobacillus ferrivorans
gap	Gilliamella apicola
fpp	Frischella perrara
bci	Baumannia cicadellinicola Hc (Homalodisca coagulata)
bcib	Candidatus Baumannia cicadellinicola BGSS
rma	Candidatus Ruthia magnifica (Calyptogena magnifica)
vok	Candidatus Vesicomyosocius okutanii (Calyptogena okutanii)
gpb	Gamma proteobacterium HdN1
tbn	Thiolapillus brandeum
seds	Sedimenticola sp. SIP-G1
tsn	Candidatus Thioglobus singularis
tho	Candidatus Thioglobus sp. EF1
nma	Neisseria meningitidis Z2491 (serogroup A)
nme	Neisseria meningitidis MC58 (serogroup B)
nmp	Neisseria meningitidis alpha710 (serogroup B)
nmh	Neisseria meningitidis H44/76 (serogroup B)
nmc	Neisseria meningitidis FAM18 (serogroup C)
nmn	Neisseria meningitidis 053442 (serogroup C)
nmt	Neisseria meningitidis 8013 (serogroup C)
nmi	Neisseria meningitidis alpha14 (cnl strain)
nmd	Neisseria meningitidis G2136 (serogroup B)
nmm	Neisseria meningitidis M01-240149 (serogroup B)
nms	Neisseria meningitidis M01-240355 (serogroup B)
nmq	Neisseria meningitidis M04-240196 (serogroup B)
nmw	Neisseria meningitidis WUE 2594 (serogroup A)
nmz	Neisseria meningitidis NZ-05/33 (serogroup B)
nmx	Neisseria meningitidis 510612 (serogroup A)
ngo	Neisseria gonorrhoeae FA 1090
ngk	Neisseria gonorrhoeae NCCP11945
nla	Neisseria lactamica
nel	Neisseria elongata
salv	Snodgrassella alvi
cvi	Chromobacterium violaceum
lhk	Laribacter hongkongensis
pse	Pseudogulbenkiania sp. NH8B
rso	Ralstonia solanacearum GMI1000
rsc	Ralstonia solanacearum CFBP2957
rsl	Ralstonia solanacearum PSI07
rsn	Ralstonia solanacearum Po82
rsm	Ralstonia solanacearum CMR15
rse	Ralstonia solanacearum FQY_4
rpi	Ralstonia pickettii 12J
rpf	Ralstonia pickettii 12D
rpj	Ralstonia pickettii DTP0602
rmn	Ralstonia mannitolilytica
reu	Ralstonia eutropha JMP134
reh	Ralstonia eutropha H16
cnc	Cupriavidus necator N-1
rme	Cupriavidus metallidurans
cti	Cupriavidus taiwanensis
cbw	Cupriavidus basilensis
cgd	Cupriavidus gilardii
bma	Burkholderia mallei ATCC 23344
bmv	Burkholderia mallei SAVP1
bml	Burkholderia mallei NCTC 10229
bmn	Burkholderia mallei NCTC 10247
bmal	Burkholderia mallei 23344
bmae	Burkholderia mallei 6
bmaq	Burkholderia mallei BMQ
bmai	Burkholderia mallei 2000031063
bmaf	Burkholderia mallei FMH 23344
bmaz	Burkholderia mallei 092700E
bmab	Burkholderia mallei 2002734299
bps	Burkholderia pseudomallei K96243
bpm	Burkholderia pseudomallei 1710b
bpl	Burkholderia pseudomallei 1106a
bpd	Burkholderia pseudomallei 668
bpr	Burkholderia pseudomallei MSHR346
bpse	Burkholderia pseudomallei MSHR305
bpsm	Burkholderia pseudomallei MSHR511
bpsu	Burkholderia pseudomallei MSHR146
bpsd	Burkholderia pseudomallei MSHR520
bpz	Burkholderia pseudomallei 1026b
bpq	Burkholderia pseudomallei BPC006
bpk	Burkholderia pseudomallei NCTC 13179
bpsh	Burkholderia pseudomallei HBPUB10134a
bpsa	Burkholderia pseudomallei NAU35A-3
bpso	Burkholderia pseudomallei A79A
bte	Burkholderia thailandensis E264
btq	Burkholderia thailandensis 2002721723
btj	Burkholderia thailandensis E444
btz	Burkholderia thailandensis H0587
btd	Burkholderia thailandensis MSMB121
btv	Burkholderia thailandensis MSMB59
bthe	Burkholderia thailandensis E254
bthm	Burkholderia thailandensis USAMRU Malaysia #20
btha	Burkholderia thailandensis 2003015869
bthl	Burkholderia thailandensis 2002721643
bok	Burkholderia oklahomensis E0147
boc	Burkholderia oklahomensis C6786
but	Burkholderia sp. TSV202
bvi	Burkholderia vietnamiensis G4
bve	Burkholderia vietnamiensis LMG 10929
bur	Burkholderia lata
bcn	Burkholderia cenocepacia AU1054
bch	Burkholderia cenocepacia HI2424
bcm	Burkholderia cenocepacia MC0-3
bcj	Burkholderia cenocepacia J2315
bcen	Burkholderia cenocepacia DDS 22E-1
bcew	Burkholderia cenocepacia DWS 37E-2
bceo	Burkholderia cenocepacia H111
bam	Burkholderia ambifaria AMMD
bac	Burkholderia ambifaria MC40-6
bmu	Burkholderia multivorans ATCC 17616 (JGI)
bmj	Burkholderia multivorans ATCC 17616 (Tohoku)
bmk	Burkholderia multivorans DDS 15A-1
bmul	Burkholderia multivorans ATCC BAA-247
bct	Burkholderia cepacia GG4
bced	Burkholderia cepacia DDS 7H-2
bdl	Burkholderia dolosa
bpyr	Burkholderia pyrrocinia
bcon	Burkholderia contaminans
bxe	Burkholderia xenovorans LB400
bxb	Burkholderia xenovorans LB400
bph	Burkholderia phymatum
bpy	Burkholderia phytofirmans
bgl	Burkholderia glumae BGR1
bgp	Burkholderia glumae PG1
bgu	Burkholderia glumae LMG 2196 = ATCC 33617
bug	Burkholderia sp. CCGE1001
bge	Burkholderia sp. CCGE1002
bgf	Burkholderia sp. CCGE1003
brh	Burkholderia rhizoxinica
bgd	Burkholderia gladioli BSR3
bgo	Burkholderia gladioli ATCC 10248
byi	Burkholderia sp. YI23
buk	Burkholderia sp. KJ006
bpx	Burkholderia phenoliruptrix
buo	Burkholderia sp. RPE64
bue	Burkholderia sp. RPE67
bul	Burkholderia sp. 2002721687
bub	Burkholderia ubonensis
bfn	Burkholderia fungorum
buq	Burkholderia sp. HB1
pnu	Polynucleobacter necessarius subsp. asymbioticus
pne	Polynucleobacter necessarius subsp. necessarius
ppk	Pandoraea pnomenusa 3kgm
ppno	Pandoraea pnomenusa RB38
ppnm	Pandoraea pnomenusa DSM 16536
prb	Pandoraea sp. RB-44
ppul	Pandoraea pulmonicola
pspu	Pandoraea sputorum
papi	Pandoraea apista
pve	Pandoraea vervacti
pox	Pandoraea oxalativorans
ptx	Pandoraea thiooxydans
pfg	Pandoraea faecigallinarum
bpe	Bordetella pertussis Tohama I
bpc	Bordetella pertussis CS
bper	Bordetella pertussis 18323
bpet	Bordetella pertussis B1917
bpeu	Bordetella pertussis 137
bpa	Bordetella parapertussis 12822
bpar	Bordetella parapertussis Bpp5
bbr	Bordetella bronchiseptica RB50
bbm	Bordetella bronchiseptica MO149
bbh	Bordetella bronchiseptica 253
bbx	Bordetella bronchiseptica S798
bpt	Bordetella petrii
bav	Bordetella avium
bho	Bordetella holmesii ATCC 51541
bhm	Bordetella holmesii 44057
bhz	Bordetella hinzii
axy	Achromobacter xylosoxidans A8
axo	Achromobacter xylosoxidans NH44784-1996
axn	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061
axs	Achromobacter xylosoxidans C54
teq	Taylorella equigenitalis MCE9
tea	Taylorella equigenitalis ATCC 35865
teg	Taylorella equigenitalis 14/56
tas	Taylorella asinigenitalis MCE3
tat	Taylorella asinigenitalis 14/45
put	Pusillimonas sp. T7-7
aka	Advenella kashmirensis
amim	Advenella mimigardefordensis
cdn	Castellaniella defragrans
bpsi	Basilea psittacipulmonis
rfr	Rhodoferax ferrireducens
pol	Polaromonas sp. JS666
pna	Polaromonas naphthalenivorans
aav	Acidovorax citrulli
ajs	Acidovorax sp. JS42
dia	Acidovorax ebreus
aaa	Acidovorax avenae
ack	Acidovorax sp. KKS102
vei	Verminephrobacter eiseniae
dac	Delftia acidovorans
del	Delftia sp. Cs1-4
vap	Variovorax paradoxus S110
vpe	Variovorax paradoxus EPS
vpd	Variovorax paradoxus B4
ctt	Comamonas testosteroni CNB-2
ctes	Comamonas testosteroni TK102
adn	Alicycliphilus denitrificans BC
adk	Alicycliphilus denitrificans K601
rta	Ramlibacter tataouinensis
cbx	Symbiobacter mobilis
oto	Ottowia sp. oral taxon 894
lim	Limnohabitans sp. 103DPR2
lih	Limnohabitans sp. 63ED37-2
cbaa	Comamonadaceae bacterium A1
cbab	Comamonadaceae bacterium B1
mpt	Methylibium petroleiphilum
har	Herminiimonas arsenicoxydans
mms	Janthinobacterium sp. Marseille
jag	Janthinobacterium agaricidamnosum
hse	Herbaspirillum seropedicae
hht	Herbaspirillum hiltneri
zin	Candidatus Zinderia insecticola
